Epoch 4 Step 440/506  loss=0.010764  lr=4.724e-03
Epoch 4 Step 460/506  loss=0.010738  lr=4.716e-03
Epoch 4 Step 480/506  loss=0.010714  lr=4.709e-03
Epoch 4 Step 500/506  loss=0.010689  lr=4.701e-03
Epoch 4 completed in 644.7s  avg_loss=0.010684  lr=4.699e-03

Validation loss: 0.003834

Epoch 5 Step 20/506  loss=0.010138  lr=4.691e-03
Epoch 5 Step 40/506  loss=0.010270  lr=4.683e-03
Epoch 5 Step 60/506  loss=0.010247  lr=4.675e-03
Epoch 5 Step 80/506  loss=0.010202  lr=4.667e-03
Epoch 5 Step 100/506  loss=0.010169  lr=4.659e-03
Epoch 5 Step 120/506  loss=0.010154  lr=4.650e-03
Epoch 5 Step 140/506  loss=0.010212  lr=4.642e-03
Epoch 5 Step 160/506  loss=0.010279  lr=4.633e-03
Epoch 5 Step 180/506  loss=0.010246  lr=4.625e-03
Epoch 5 Step 200/506  loss=0.010196  lr=4.616e-03
Epoch 5 Step 220/506  loss=0.010164  lr=4.608e-03
Epoch 5 Step 240/506  loss=0.010144  lr=4.599e-03
Epoch 5 Step 260/506  loss=0.010101  lr=4.590e-03
Epoch 5 Step 280/506  loss=0.010084  lr=4.581e-03
Epoch 5 Step 300/506  loss=0.010053  lr=4.572e-03
Epoch 5 Step 320/506  loss=0.010041  lr=4.562e-03
Epoch 5 Step 340/506  loss=0.010042  lr=4.553e-03
Epoch 5 Step 360/506  loss=0.010017  lr=4.544e-03
Epoch 5 Step 380/506  loss=0.009985  lr=4.534e-03
Epoch 5 Step 400/506  loss=0.009980  lr=4.525e-03
Epoch 5 Step 420/506  loss=0.010000  lr=4.515e-03
Epoch 5 Step 440/506  loss=0.009993  lr=4.506e-03
Epoch 5 Step 460/506  loss=0.009973  lr=4.496e-03
Epoch 5 Step 480/506  loss=0.009957  lr=4.486e-03
Epoch 5 Step 500/506  loss=0.009935  lr=4.476e-03
Epoch 5 completed in 644.0s  avg_loss=0.009937  lr=4.473e-03

Validation loss: 0.003229

Epoch 6 Step 20/506  loss=0.009171  lr=4.463e-03
Epoch 6 Step 40/506  loss=0.009334  lr=4.453e-03
Epoch 6 Step 60/506  loss=0.009426  lr=4.442e-03
Epoch 6 Step 80/506  loss=0.009483  lr=4.432e-03
Epoch 6 Step 100/506  loss=0.009651  lr=4.422e-03
Epoch 6 Step 120/506  loss=0.009686  lr=4.411e-03
Epoch 6 Step 140/506  loss=0.009638  lr=4.401e-03
Epoch 6 Step 160/506  loss=0.009575  lr=4.390e-03
Epoch 6 Step 180/506  loss=0.009504  lr=4.379e-03
Epoch 6 Step 200/506  loss=0.009481  lr=4.368e-03
Epoch 6 Step 220/506  loss=0.009463  lr=4.357e-03
Epoch 6 Step 240/506  loss=0.009445  lr=4.346e-03
Epoch 6 Step 260/506  loss=0.009420  lr=4.335e-03
Epoch 6 Step 280/506  loss=0.009392  lr=4.324e-03
Epoch 6 Step 300/506  loss=0.009364  lr=4.313e-03
Epoch 6 Step 320/506  loss=0.009368  lr=4.302e-03
Epoch 6 Step 340/506  loss=0.009344  lr=4.290e-03
Epoch 6 Step 360/506  loss=0.009317  lr=4.279e-03
Epoch 6 Step 380/506  loss=0.009315  lr=4.267e-03
Epoch 6 Step 400/506  loss=0.009294  lr=4.256e-03
Epoch 6 Step 420/506  loss=0.009278  lr=4.244e-03
Epoch 6 Step 440/506  loss=0.009305  lr=4.232e-03
Epoch 6 Step 460/506  loss=0.009297  lr=4.221e-03
Epoch 6 Step 480/506  loss=0.009295  lr=4.209e-03
Epoch 6 Step 500/506  loss=0.009280  lr=4.197e-03
Epoch 6 completed in 646.9s  avg_loss=0.009270  lr=4.193e-03

Validation loss: 0.003182

Epoch 7 Step 20/506  loss=0.009075  lr=4.181e-03
Epoch 7 Step 40/506  loss=0.009198  lr=4.169e-03
Epoch 7 Step 60/506  loss=0.009198  lr=4.157e-03
Epoch 7 Step 80/506  loss=0.009131  lr=4.145e-03
Epoch 7 Step 100/506  loss=0.009179  lr=4.132e-03
Epoch 7 Step 120/506  loss=0.009127  lr=4.120e-03
Epoch 7 Step 140/506  loss=0.009173  lr=4.107e-03
Epoch 7 Step 160/506  loss=0.009176  lr=4.095e-03
Epoch 7 Step 180/506  loss=0.009167  lr=4.082e-03
Epoch 7 Step 200/506  loss=0.009102  lr=4.069e-03
Epoch 7 Step 220/506  loss=0.009085  lr=4.057e-03
Epoch 7 Step 240/506  loss=0.009118  lr=4.044e-03
Epoch 7 Step 260/506  loss=0.009128  lr=4.031e-03
Epoch 7 Step 280/506  loss=0.009144  lr=4.018e-03
Epoch 7 Step 300/506  loss=0.009106  lr=4.005e-03
Epoch 7 Step 320/506  loss=0.009082  lr=3.992e-03
Epoch 7 Step 340/506  loss=0.009059  lr=3.979e-03
Epoch 7 Step 360/506  loss=0.009059  lr=3.966e-03
Epoch 7 Step 380/506  loss=0.009052  lr=3.952e-03
Epoch 7 Step 400/506  loss=0.009051  lr=3.939e-03
Epoch 7 Step 420/506  loss=0.009030  lr=3.926e-03
Epoch 7 Step 440/506  loss=0.009011  lr=3.912e-03
Epoch 7 Step 460/506  loss=0.009004  lr=3.899e-03
Epoch 7 Step 480/506  loss=0.009009  lr=3.885e-03
Epoch 7 Step 500/506  loss=0.009003  lr=3.871e-03
Epoch 7 completed in 645.3s  avg_loss=0.009002  lr=3.867e-03

Validation loss: 0.003210

Epoch 8 Step 20/506  loss=0.008657  lr=3.854e-03
Epoch 8 Step 40/506  loss=0.008936  lr=3.840e-03
Epoch 8 Step 60/506  loss=0.008896  lr=3.826e-03
Epoch 8 Step 80/506  loss=0.008845  lr=3.812e-03
Epoch 8 Step 100/506  loss=0.008774  lr=3.798e-03
Epoch 8 Step 120/506  loss=0.008657  lr=3.784e-03
Epoch 8 Step 140/506  loss=0.008607  lr=3.770e-03
Epoch 8 Step 160/506  loss=0.008614  lr=3.756e-03
Epoch 8 Step 180/506  loss=0.008615  lr=3.742e-03
Epoch 8 Step 200/506  loss=0.008584  lr=3.728e-03
Epoch 8 Step 220/506  loss=0.008609  lr=3.714e-03
Epoch 8 Step 240/506  loss=0.008600  lr=3.699e-03
Epoch 8 Step 260/506  loss=0.008596  lr=3.685e-03
Epoch 8 Step 280/506  loss=0.008589  lr=3.670e-03
Epoch 8 Step 300/506  loss=0.008583  lr=3.656e-03
Epoch 8 Step 320/506  loss=0.008568  lr=3.641e-03
Epoch 8 Step 340/506  loss=0.008560  lr=3.627e-03
Epoch 8 Step 360/506  loss=0.008559  lr=3.612e-03
Epoch 8 Step 380/506  loss=0.008562  lr=3.598e-03
Epoch 8 Step 400/506  loss=0.008559  lr=3.583e-03
Epoch 8 Step 420/506  loss=0.008544  lr=3.568e-03
Epoch 8 Step 440/506  loss=0.008541  lr=3.553e-03
Epoch 8 Step 460/506  loss=0.008544  lr=3.539e-03
Epoch 8 Step 480/506  loss=0.008539  lr=3.524e-03
Epoch 8 Step 500/506  loss=0.008531  lr=3.509e-03
